3R Name,Forename,Surname,Email,Joined,Left,Short,Long,Remote IM,Emergency,Drop-In,On-Call,Ongoing,Committee
Abdul H (He/Him),Abdul,Hamid Berne ,name@example.com,15/02/2018,23/08/2022,8,6,3,0,2,0,2,IT Coordinator
Alison (she/her),Alison,Bissette,name@example.com,11/02/2020,16/10/2021,10,8,6,5,0,0,5,Social Coordinator
Aoibhinn Bannerman,Aoibhinn,Bannerman,name@example.com,15/02/2019,19/10/2021,3,2,0,0,0,0,0,
Azhar (she/her),Azhar,Ó Cléirigh,name@example.com,27/10/2021,23/08/2022,5,20,4,6,2,0,7,Publicity Coordinator
Bertina (she/her),Bertina,Hext,name@example.com,15/10/2019,23/08/2022,9,4,5,0,0,0,3,
Bettie,Bettie,Wickham,name@example.com,15/02/2019,26/02/2022,8,9,5,0,0,0,3,
Bria H (she/her),Bria,Hawkins,name@example.com,28/10/2020,23/08/2022,2,3,5,0,0,0,1,Rota Coordinator
Bulus (she/her),Bulus,Davidson,name@example.com,22/02/2021,26/02/2022,2,2,1,0,0,0,0,
Cath (she/her),Cathleen,Paige,name@example.com,22/02/2021,16/12/2021,22,24,13,0,0,0,13,Inclusion Coordinator
Christen (she/her),Christen,West,name@example.com,15/10/2018,01/11/2021,4,10,1,0,0,0,1,
Courteney (She/Her),Courteney,Tyson,name@example.com,27/10/2021,23/08/2022,7,5,4,0,0,0,1,
Darina Radclyffe,Darina,Radclyffe,name@example.com,15/10/2018,06/02/2022,1,1,1,0,0,0,1,
Darleen (she/her),Darleen,West,name@example.com,27/10/2021,23/08/2022,1,0,2,0,0,0,1,
Delano (she/her),Delano,Jewel,name@example.com,15/02/2019,23/08/2022,0,0,7,0,0,0,1,
Des (he/him),Des,Simons,name@example.com,11/02/2020,23/08/2022,4,5,0,0,0,0,1,
Des (he/him),Desmond,Foster,name@example.com,27/10/2021,23/08/2022,11,8,8,4,0,0,6,
Elpida Michelakakis,Elpida,Michelakakis,name@example.com,22/02/2021,23/08/2022,3,5,2,0,0,0,0,
Emmaline (she/her),Emmaline,Chia,name@example.com,22/02/2021,23/08/2022,0,0,1,0,0,0,0,
Fergal McElligott,Fergal,McElligott,name@example.com,15/02/2022,23/08/2022,0,0,1,0,0,0,0,
Garland O’Tadhgain Zaman,Garland,O’Tadhgain Zaman,name@example.com,15/10/2018,23/08/2022,7,14,2,3,0,0,1,"Training Coordinator, Inclusion Coordinator"
Heidi Lynn,Heidi,Lynn,name@example.com,15/02/2019,20/02/2022,1,0,1,0,0,0,1,
Huan Dukes,Huan,Dukes,name@example.com,15/10/2018,17/10/2021,15,17,0,3,0,0,4,
Jad (he/him),Jad,Spooner,name@example.com,15/02/2022,23/08/2022,7,8,12,0,0,2,4,
Jennifer Atwood,Jennifer,Atwood,name@example.com,15/02/2019,16/10/2021,0,0,3,0,0,0,1,
Ju (she/her),Ju,Deng,name@example.com,28/10/2020,06/02/2022,6,16,3,0,0,0,4,
Julius,Julius,El-Ghazzawy ,name@example.com,15/10/2018,06/02/2022,2,2,10,0,1,0,2,"IT Coordinator, Training Coordinator, Publicity Coordinator"
Kara Batts,Kara,Batts,name@example.com,17/10/2017,26/08/2022,3,4,0,0,0,0,2,
Karolyn Myers,Karolyn,Myers,name@example.com,28/10/2020,08/10/2021,12,11,0,0,0,0,1,
Kizzie (she/her),Kirsten,Hayley,name@example.com,11/02/2020,23/08/2022,11,25,3,0,2,0,5,
Latif Harding,Latif,Harding,name@example.com,15/02/2019,04/10/2021,1,1,0,0,0,0,0,
Lee Hunt (he/him),Lee,Hunt,name@example.com,27/10/2021,23/08/2022,5,5,10,3,0,0,3,
Linsey (she/her),Linsey,Orman,name@example.com,17/10/2017,23/08/2022,3,2,2,0,0,0,2,
Lucy (she/her),Lucy,Caoimh,name@example.com,11/02/2020,08/10/2021,2,2,15,7,4,0,8,
Luke (any pronouns),Luke,Donnelly,name@example.com,28/10/2020,23/08/2022,9,15,0,0,0,0,3,"IT Coordinator, Social Coordinator"
Madeleine Hobbs,Madeleine,Hobbs,name@example.com,15/02/2018,23/08/2022,1,2,3,0,0,0,2,Treasurer
Mahfuz Deasmhumhnaigh,Mahfuz,Deasmhumhnaigh,name@example.com,15/02/2018,08/10/2021,6,4,2,0,0,0,1,
Marni Robin (she/her),Marni,Robin,name@example.com,28/10/2020,23/08/2022,1,1,6,0,0,0,3,
Meaghan Peck,Meaghan,Peck,name@example.com,15/10/2019,04/10/2021,3,5,0,0,0,0,2,
Missie Elvis Huddleson,Missie,Elvis Huddleson,name@example.com,22/02/2021,23/08/2022,3,1,0,0,0,0,1,Training Coordinator
Moe Mahmoud ,Moe,Mahmoud,name@example.com,27/10/2021,23/08/2022,1,0,7,0,0,0,3,
Monique Kinsley,Monique,Kinsley,name@example.com,27/10/2021,23/08/2022,1,1,4,0,0,0,1,
Nadeem Caoimh,Nadeem,Caoimh,name@example.com,15/02/2018,06/10/2021,2,0,0,0,0,0,0,
Nasir (she/her),Nasir,Sparks,name@example.com,15/10/2018,23/08/2022,10,10,4,5,0,0,8,"IT Coordinator, Office Coordinator"
Nora (she/her),Nora,Barker,name@example.com,15/02/2019,17/10/2021,1,1,3,0,0,0,3,
Percy,Percy,Ayers,name@example.com,17/10/2017,06/02/2022,9,9,0,0,0,0,2,
Prudence Ó Coileáin,Prudence,Ó Coileáin,name@example.com,22/02/2021,23/08/2022,2,1,0,0,0,0,0,
Rafiqa Qadir,Rafiqa,Qadir,name@example.com,28/10/2020,23/08/2022,0,0,2,0,0,0,2,
Rashid Tracey,Rashid,Tracey,name@example.com,11/02/2020,02/11/2021,5,1,0,0,0,0,1,
Ronnie Seward,Ronnie,Seward,name@example.com,22/02/2021,26/02/2022,0,1,1,0,0,0,0,
Salina Banks,Salina,Banks,name@example.com,22/02/2021,29/08/2022,1,1,1,0,0,0,2,Treasurer
Sayyida (she/her),Sayyida,van Clery,name@example.com,15/02/2022,23/08/2022,0,1,1,0,0,0,1,
Shahd Robbins,Shahd,Robbins,name@example.com,27/10/2021,23/08/2022,2,4,2,0,0,0,1,
Shamil Edgar,Shamil,Edgar ,name@example.com,28/10/2020,23/08/2022,1,0,3,0,0,0,0,Welfare Coordinator
Shi Jin Ye,Shi Jin,Ye,name@example.com,27/10/2021,23/08/2022,3,0,0,0,0,0,0,Publicity Coordinator
Surayya Cummings ,Surayya ,Cummings,name@example.com,11/02/2020,23/08/2022,1,3,0,0,0,0,0,
Suzanna Plaskett,Suzanna,Plaskett,name@example.com,28/10/2020,23/08/2022,3,7,4,0,0,0,3,
Thelma Ó Néill,Thelma,Ó Néill,name@example.com,28/10/2020,26/02/2022,0,0,0,0,0,0,0,
Will (She/They),Will,Allsopp,name@example.com,17/10/2017,20/09/2021,9,20,7,0,1,0,9,Secretary
Wilma Homewood,Wilma,Homewood,name@example.com,11/02/2020,23/08/2022,0,2,3,0,0,0,1,
Yasin Abney (she/her),Yasin,Abney,name@example.com,15/10/2019,04/01/2022,4,3,9,1,0,0,2,
Zhihao,Zhihao,Hopson,name@example.com,15/10/2019,23/08/2022,3,0,4,0,0,0,4,
Zinedine Ó hEidhin,Zinedine,Ó hEidhin,name@example.com,15/10/2018,23/08/2022,3,2,0,0,0,0,0,
